SuperWEB2(tm),,,,,
,,,,,
Census 2022-Person-2Fv1,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV501a - Highest level of qualification by sex by age (16) All people aged 16 and over,,,,,
United Kingdom Parliamentary Constituency 2024 by Sex and Age by Highest Level of Qualification,,,,,
Counting: Individuals,,,,,
,,,,,
Filters:,,,,,
Default Summation,Individuals,,,,
,,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Sex,Age,Highest Level of Qualification,Count
Individuals,Edinburgh East and Musselburgh,Male,50 to 54,Lower school qualifications,570
Individuals,Edinburgh East and Musselburgh,Male,50 to 54,Upper school qualifications,297
Individuals,Edinburgh East and Musselburgh,Male,50 to 54,Apprenticeship qualifications,303
Individuals,Edinburgh East and Musselburgh,Male,50 to 54,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,348
Individuals,Edinburgh East and Musselburgh,Male,50 to 54,Degree level qualifications or above,1272
Individuals,Edinburgh East and Musselburgh,Male,55 to 59,All people aged 16 and over,3261
Individuals,Edinburgh East and Musselburgh,Male,55 to 59,No qualifications,565
Individuals,Edinburgh East and Musselburgh,Male,55 to 59,Lower school qualifications,595
Individuals,Edinburgh East and Musselburgh,Male,55 to 59,Upper school qualifications,280
Individuals,Edinburgh East and Musselburgh,Male,55 to 59,Apprenticeship qualifications,423
Individuals,Edinburgh East and Musselburgh,Male,55 to 59,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,301
Individuals,Edinburgh East and Musselburgh,Male,55 to 59,Degree level qualifications or above,1095
Individuals,Edinburgh East and Musselburgh,Male,60 to 64,All people aged 16 and over,2866
Individuals,Edinburgh East and Musselburgh,Male,60 to 64,No qualifications,575
Individuals,Edinburgh East and Musselburgh,Male,60 to 64,Lower school qualifications,472
Individuals,Edinburgh East and Musselburgh,Male,60 to 64,Upper school qualifications,207
Individuals,Edinburgh East and Musselburgh,Male,60 to 64,Apprenticeship qualifications,482
Individuals,Edinburgh East and Musselburgh,Male,60 to 64,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,249
Individuals,Edinburgh East and Musselburgh,Male,60 to 64,Degree level qualifications or above,877
Individuals,Edinburgh East and Musselburgh,Male,65 to 69,All people aged 16 and over,2148
Individuals,Edinburgh East and Musselburgh,Male,65 to 69,No qualifications,481
Individuals,Edinburgh East and Musselburgh,Male,65 to 69,Lower school qualifications,245
Individuals,Edinburgh East and Musselburgh,Male,65 to 69,Upper school qualifications,191
Individuals,Edinburgh East and Musselburgh,Male,65 to 69,Apprenticeship qualifications,392
Individuals,Edinburgh East and Musselburgh,Male,65 to 69,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,171
Individuals,Edinburgh East and Musselburgh,Male,65 to 69,Degree level qualifications or above,672
Individuals,Edinburgh East and Musselburgh,Male,70 to 74,All people aged 16 and over,1934
Individuals,Edinburgh East and Musselburgh,Male,70 to 74,No qualifications,514
Individuals,Edinburgh East and Musselburgh,Male,70 to 74,Lower school qualifications,215
Individuals,Edinburgh East and Musselburgh,Male,70 to 74,Upper school qualifications,128
Individuals,Edinburgh East and Musselburgh,Male,70 to 74,Apprenticeship qualifications,415
Individuals,Edinburgh East and Musselburgh,Male,70 to 74,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,131
Individuals,Edinburgh East and Musselburgh,Male,70 to 74,Degree level qualifications or above,531
Individuals,Edinburgh East and Musselburgh,Male,75 to 79,All people aged 16 and over,1392
Individuals,Edinburgh East and Musselburgh,Male,75 to 79,No qualifications,444
Individuals,Edinburgh East and Musselburgh,Male,75 to 79,Lower school qualifications,189
Individuals,Edinburgh East and Musselburgh,Male,75 to 79,Upper school qualifications,66
Individuals,Edinburgh East and Musselburgh,Male,75 to 79,Apprenticeship qualifications,291
Individuals,Edinburgh East and Musselburgh,Male,75 to 79,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,83
Individuals,Edinburgh East and Musselburgh,Male,75 to 79,Degree level qualifications or above,320
Individuals,Edinburgh East and Musselburgh,Male,80 to 84,All people aged 16 and over,825
Individuals,Edinburgh East and Musselburgh,Male,80 to 84,No qualifications,305
Individuals,Edinburgh East and Musselburgh,Male,80 to 84,Lower school qualifications,86
Individuals,Edinburgh East and Musselburgh,Male,80 to 84,Upper school qualifications,24
Individuals,Edinburgh East and Musselburgh,Male,80 to 84,Apprenticeship qualifications,172
Individuals,Edinburgh East and Musselburgh,Male,80 to 84,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,50
Individuals,Edinburgh East and Musselburgh,Male,80 to 84,Degree level qualifications or above,184
Individuals,Edinburgh East and Musselburgh,Male,85 and over,All people aged 16 and over,761
Individuals,Edinburgh East and Musselburgh,Male,85 and over,No qualifications,303
Individuals,Edinburgh East and Musselburgh,Male,85 and over,Lower school qualifications,70
Individuals,Edinburgh East and Musselburgh,Male,85 and over,Upper school qualifications,37
Individuals,Edinburgh East and Musselburgh,Male,85 and over,Apprenticeship qualifications,193
Individuals,Edinburgh East and Musselburgh,Male,85 and over,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,29
Individuals,Edinburgh East and Musselburgh,Male,85 and over,Degree level qualifications or above,126
Individuals,Edinburgh North and Leith,All people aged 16 and over,Total,All people aged 16 and over,95708
Individuals,Edinburgh North and Leith,All people aged 16 and over,Total,No qualifications,8711
Individuals,Edinburgh North and Leith,All people aged 16 and over,Total,Lower school qualifications,12187
Individuals,Edinburgh North and Leith,All people aged 16 and over,Total,Upper school qualifications,9301
Individuals,Edinburgh North and Leith,All people aged 16 and over,Total,Apprenticeship qualifications,3271
Individuals,Edinburgh North and Leith,All people aged 16 and over,Total,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,8757
Individuals,Edinburgh North and Leith,All people aged 16 and over,Total,Degree level qualifications or above,53481
Individuals,Edinburgh North and Leith,All people aged 16 and over,16 to 19,All people aged 16 and over,3910
Individuals,Edinburgh North and Leith,All people aged 16 and over,16 to 19,No qualifications,320
Individuals,Edinburgh North and Leith,All people aged 16 and over,16 to 19,Lower school qualifications,1307
Individuals,Edinburgh North and Leith,All people aged 16 and over,16 to 19,Upper school qualifications,1649
Individuals,Edinburgh North and Leith,All people aged 16 and over,16 to 19,Apprenticeship qualifications,79
Individuals,Edinburgh North and Leith,All people aged 16 and over,16 to 19,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,302
Individuals,Edinburgh North and Leith,All people aged 16 and over,16 to 19,Degree level qualifications or above,256
Individuals,Edinburgh North and Leith,All people aged 16 and over,20 to 24,All people aged 16 and over,8922
Individuals,Edinburgh North and Leith,All people aged 16 and over,20 to 24,No qualifications,270
Individuals,Edinburgh North and Leith,All people aged 16 and over,20 to 24,Lower school qualifications,1027
Individuals,Edinburgh North and Leith,All people aged 16 and over,20 to 24,Upper school qualifications,2052
Individuals,Edinburgh North and Leith,All people aged 16 and over,20 to 24,Apprenticeship qualifications,201
Individuals,Edinburgh North and Leith,All people aged 16 and over,20 to 24,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1135
Individuals,Edinburgh North and Leith,All people aged 16 and over,20 to 24,Degree level qualifications or above,4237
Individuals,Edinburgh North and Leith,All people aged 16 and over,25 to 29,All people aged 16 and over,12839
Individuals,Edinburgh North and Leith,All people aged 16 and over,25 to 29,No qualifications,302
Individuals,Edinburgh North and Leith,All people aged 16 and over,25 to 29,Lower school qualifications,1000
Individuals,Edinburgh North and Leith,All people aged 16 and over,25 to 29,Upper school qualifications,825
Individuals,Edinburgh North and Leith,All people aged 16 and over,25 to 29,Apprenticeship qualifications,280
Individuals,Edinburgh North and Leith,All people aged 16 and over,25 to 29,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1146
Individuals,Edinburgh North and Leith,All people aged 16 and over,25 to 29,Degree level qualifications or above,9286
Individuals,Edinburgh North and Leith,All people aged 16 and over,30 to 34,All people aged 16 and over,12671
Individuals,Edinburgh North and Leith,All people aged 16 and over,30 to 34,No qualifications,413
Individuals,Edinburgh North and Leith,All people aged 16 and over,30 to 34,Lower school qualifications,1197
Individuals,Edinburgh North and Leith,All people aged 16 and over,30 to 34,Upper school qualifications,731
Individuals,Edinburgh North and Leith,All people aged 16 and over,30 to 34,Apprenticeship qualifications,274
Individuals,Edinburgh North and Leith,All people aged 16 and over,30 to 34,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1169
Individuals,Edinburgh North and Leith,All people aged 16 and over,30 to 34,Degree level qualifications or above,8887
Individuals,Edinburgh North and Leith,All people aged 16 and over,35 to 39,All people aged 16 and over,10001
Individuals,Edinburgh North and Leith,All people aged 16 and over,35 to 39,No qualifications,422
Individuals,Edinburgh North and Leith,All people aged 16 and over,35 to 39,Lower school qualifications,1042
Individuals,Edinburgh North and Leith,All people aged 16 and over,35 to 39,Upper school qualifications,630
Individuals,Edinburgh North and Leith,All people aged 16 and over,35 to 39,Apprenticeship qualifications,197
Individuals,Edinburgh North and Leith,All people aged 16 and over,35 to 39,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1018
Individuals,Edinburgh North and Leith,All people aged 16 and over,35 to 39,Degree level qualifications or above,6690
Individuals,Edinburgh North and Leith,All people aged 16 and over,40 to 44,All people aged 16 and over,8083
Individuals,Edinburgh North and Leith,All people aged 16 and over,40 to 44,No qualifications,434
Individuals,Edinburgh North and Leith,All people aged 16 and over,40 to 44,Lower school qualifications,917
Individuals,Edinburgh North and Leith,All people aged 16 and over,40 to 44,Upper school qualifications,518
Individuals,Edinburgh North and Leith,All people aged 16 and over,40 to 44,Apprenticeship qualifications,170
Individuals,Edinburgh North and Leith,All people aged 16 and over,40 to 44,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,857
Individuals,Edinburgh North and Leith,All people aged 16 and over,40 to 44,Degree level qualifications or above,5187
Individuals,Edinburgh North and Leith,All people aged 16 and over,45 to 49,All people aged 16 and over,6629
Individuals,Edinburgh North and Leith,All people aged 16 and over,45 to 49,No qualifications,513
Individuals,Edinburgh North and Leith,All people aged 16 and over,45 to 49,Lower school qualifications,887
Individuals,Edinburgh North and Leith,All people aged 16 and over,45 to 49,Upper school qualifications,448
Individuals,Edinburgh North and Leith,All people aged 16 and over,45 to 49,Apprenticeship qualifications,200
Individuals,Edinburgh North and Leith,All people aged 16 and over,45 to 49,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,648
Individuals,Edinburgh North and Leith,All people aged 16 and over,45 to 49,Degree level qualifications or above,3931
Individuals,Edinburgh North and Leith,All people aged 16 and over,50 to 54,All people aged 16 and over,6709
Individuals,Edinburgh North and Leith,All people aged 16 and over,50 to 54,No qualifications,673
Individuals,Edinburgh North and Leith,All people aged 16 and over,50 to 54,Lower school qualifications,1032
Individuals,Edinburgh North and Leith,All people aged 16 and over,50 to 54,Upper school qualifications,565
Individuals,Edinburgh North and Leith,All people aged 16 and over,50 to 54,Apprenticeship qualifications,238
Individuals,Edinburgh North and Leith,All people aged 16 and over,50 to 54,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,676
Individuals,Edinburgh North and Leith,All people aged 16 and over,50 to 54,Degree level qualifications or above,3522
Individuals,Edinburgh North and Leith,All people aged 16 and over,55 to 59,All people aged 16 and over,6486
Individuals,Edinburgh North and Leith,All people aged 16 and over,55 to 59,No qualifications,902
Individuals,Edinburgh North and Leith,All people aged 16 and over,55 to 59,Lower school qualifications,1015
Individuals,Edinburgh North and Leith,All people aged 16 and over,55 to 59,Upper school qualifications,539
Individuals,Edinburgh North and Leith,All people aged 16 and over,55 to 59,Apprenticeship qualifications,258
Individuals,Edinburgh North and Leith,All people aged 16 and over,55 to 59,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,605
Individuals,Edinburgh North and Leith,All people aged 16 and over,55 to 59,Degree level qualifications or above,3171
Individuals,Edinburgh North and Leith,All people aged 16 and over,60 to 64,All people aged 16 and over,5459
Individuals,Edinburgh North and Leith,All people aged 16 and over,60 to 64,No qualifications,832
Individuals,Edinburgh North and Leith,All people aged 16 and over,60 to 64,Lower school qualifications,832
Individuals,Edinburgh North and Leith,All people aged 16 and over,60 to 64,Upper school qualifications,439
Individuals,Edinburgh North and Leith,All people aged 16 and over,60 to 64,Apprenticeship qualifications,360
Individuals,Edinburgh North and Leith,All people aged 16 and over,60 to 64,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,458
Individuals,Edinburgh North and Leith,All people aged 16 and over,60 to 64,Degree level qualifications or above,2538
Individuals,Edinburgh North and Leith,All people aged 16 and over,65 to 69,All people aged 16 and over,4310
Individuals,Edinburgh North and Leith,All people aged 16 and over,65 to 69,No qualifications,782
Individuals,Edinburgh North and Leith,All people aged 16 and over,65 to 69,Lower school qualifications,590
Individuals,Edinburgh North and Leith,All people aged 16 and over,65 to 69,Upper school qualifications,341
Individuals,Edinburgh North and Leith,All people aged 16 and over,65 to 69,Apprenticeship qualifications,302
Individuals,Edinburgh North and Leith,All people aged 16 and over,65 to 69,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,286
Individuals,Edinburgh North and Leith,All people aged 16 and over,65 to 69,Degree level qualifications or above,2013
Individuals,Edinburgh North and Leith,All people aged 16 and over,70 to 74,All people aged 16 and over,3660
Individuals,Edinburgh North and Leith,All people aged 16 and over,70 to 74,No qualifications,848
Individuals,Edinburgh North and Leith,All people aged 16 and over,70 to 74,Lower school qualifications,450
Individuals,Edinburgh North and Leith,All people aged 16 and over,70 to 74,Upper school qualifications,268
Individuals,Edinburgh North and Leith,All people aged 16 and over,70 to 74,Apprenticeship qualifications,261
Individuals,Edinburgh North and Leith,All people aged 16 and over,70 to 74,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,209
Individuals,Edinburgh North and Leith,All people aged 16 and over,70 to 74,Degree level qualifications or above,1629
Individuals,Edinburgh North and Leith,All people aged 16 and over,75 to 79,All people aged 16 and over,2546
Individuals,Edinburgh North and Leith,All people aged 16 and over,75 to 79,No qualifications,720
Individuals,Edinburgh North and Leith,All people aged 16 and over,75 to 79,Lower school qualifications,341
Individuals,Edinburgh North and Leith,All people aged 16 and over,75 to 79,Upper school qualifications,128
Individuals,Edinburgh North and Leith,All people aged 16 and over,75 to 79,Apprenticeship qualifications,182
Individuals,Edinburgh North and Leith,All people aged 16 and over,75 to 79,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,140
Individuals,Edinburgh North and Leith,All people aged 16 and over,75 to 79,Degree level qualifications or above,1035
Individuals,Edinburgh North and Leith,All people aged 16 and over,80 to 84,All people aged 16 and over,1750
Individuals,Edinburgh North and Leith,All people aged 16 and over,80 to 84,No qualifications,589
Individuals,Edinburgh North and Leith,All people aged 16 and over,80 to 84,Lower school qualifications,269
Individuals,Edinburgh North and Leith,All people aged 16 and over,80 to 84,Upper school qualifications,87
Individuals,Edinburgh North and Leith,All people aged 16 and over,80 to 84,Apprenticeship qualifications,147
Individuals,Edinburgh North and Leith,All people aged 16 and over,80 to 84,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,58
Individuals,Edinburgh North and Leith,All people aged 16 and over,80 to 84,Degree level qualifications or above,600
Individuals,Edinburgh North and Leith,All people aged 16 and over,85 and over,All people aged 16 and over,1733
Individuals,Edinburgh North and Leith,All people aged 16 and over,85 and over,No qualifications,690
Individuals,Edinburgh North and Leith,All people aged 16 and over,85 and over,Lower school qualifications,275
Individuals,Edinburgh North and Leith,All people aged 16 and over,85 and over,Upper school qualifications,82
Individuals,Edinburgh North and Leith,All people aged 16 and over,85 and over,Apprenticeship qualifications,134
Individuals,Edinburgh North and Leith,All people aged 16 and over,85 and over,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,48
Individuals,Edinburgh North and Leith,All people aged 16 and over,85 and over,Degree level qualifications or above,494
Individuals,Edinburgh North and Leith,Female,Total,All people aged 16 and over,49272
Individuals,Edinburgh North and Leith,Female,Total,No qualifications,4570
Individuals,Edinburgh North and Leith,Female,Total,Lower school qualifications,6357
Individuals,Edinburgh North and Leith,Female,Total,Upper school qualifications,4700
Individuals,Edinburgh North and Leith,Female,Total,Apprenticeship qualifications,720
Individuals,Edinburgh North and Leith,Female,Total,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,4268
Individuals,Edinburgh North and Leith,Female,Total,Degree level qualifications or above,28660
Individuals,Edinburgh North and Leith,Female,16 to 19,All people aged 16 and over,1982
Individuals,Edinburgh North and Leith,Female,16 to 19,No qualifications,121
Individuals,Edinburgh North and Leith,Female,16 to 19,Lower school qualifications,589
Individuals,Edinburgh North and Leith,Female,16 to 19,Upper school qualifications,927
Individuals,Edinburgh North and Leith,Female,16 to 19,Apprenticeship qualifications,38
Individuals,Edinburgh North and Leith,Female,16 to 19,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,162
Individuals,Edinburgh North and Leith,Female,16 to 19,Degree level qualifications or above,145
Individuals,Edinburgh North and Leith,Female,20 to 24,All people aged 16 and over,4975
Individuals,Edinburgh North and Leith,Female,20 to 24,No qualifications,126
Individuals,Edinburgh North and Leith,Female,20 to 24,Lower school qualifications,483
Individuals,Edinburgh North and Leith,Female,20 to 24,Upper school qualifications,1104
Individuals,Edinburgh North and Leith,Female,20 to 24,Apprenticeship qualifications,83
Individuals,Edinburgh North and Leith,Female,20 to 24,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,616
Individuals,Edinburgh North and Leith,Female,20 to 24,Degree level qualifications or above,2569
Individuals,Edinburgh North and Leith,Female,25 to 29,All people aged 16 and over,6695
Individuals,Edinburgh North and Leith,Female,25 to 29,No qualifications,130
Individuals,Edinburgh North and Leith,Female,25 to 29,Lower school qualifications,434
Individuals,Edinburgh North and Leith,Female,25 to 29,Upper school qualifications,354
Individuals,Edinburgh North and Leith,Female,25 to 29,Apprenticeship qualifications,107
Individuals,Edinburgh North and Leith,Female,25 to 29,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,507
Individuals,Edinburgh North and Leith,Female,25 to 29,Degree level qualifications or above,5164
Individuals,Edinburgh North and Leith,Female,30 to 34,All people aged 16 and over,6451
Individuals,Edinburgh North and Leith,Female,30 to 34,No qualifications,200
Individuals,Edinburgh North and Leith,Female,30 to 34,Lower school qualifications,560
Individuals,Edinburgh North and Leith,Female,30 to 34,Upper school qualifications,307
Individuals,Edinburgh North and Leith,Female,30 to 34,Apprenticeship qualifications,82
Individuals,Edinburgh North and Leith,Female,30 to 34,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,558
Individuals,Edinburgh North and Leith,Female,30 to 34,Degree level qualifications or above,4741
Individuals,Edinburgh North and Leith,Female,35 to 39,All people aged 16 and over,4997
Individuals,Edinburgh North and Leith,Female,35 to 39,No qualifications,188
Individuals,Edinburgh North and Leith,Female,35 to 39,Lower school qualifications,485
Individuals,Edinburgh North and Leith,Female,35 to 39,Upper school qualifications,269
Individuals,Edinburgh North and Leith,Female,35 to 39,Apprenticeship qualifications,71
Individuals,Edinburgh North and Leith,Female,35 to 39,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,490
Individuals,Edinburgh North and Leith,Female,35 to 39,Degree level qualifications or above,3495
Individuals,Edinburgh North and Leith,Female,40 to 44,All people aged 16 and over,4026
Individuals,Edinburgh North and Leith,Female,40 to 44,No qualifications,214
Individuals,Edinburgh North and Leith,Female,40 to 44,Lower school qualifications,441
Individuals,Edinburgh North and Leith,Female,40 to 44,Upper school qualifications,221
Individuals,Edinburgh North and Leith,Female,40 to 44,Apprenticeship qualifications,40
Individuals,Edinburgh North and Leith,Female,40 to 44,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,383
Individuals,Edinburgh North and Leith,Female,40 to 44,Degree level qualifications or above,2717
Individuals,Edinburgh North and Leith,Female,45 to 49,All people aged 16 and over,3248
Individuals,Edinburgh North and Leith,Female,45 to 49,No qualifications,220
Individuals,Edinburgh North and Leith,Female,45 to 49,Lower school qualifications,422
Individuals,Edinburgh North and Leith,Female,45 to 49,Upper school qualifications,215
Individuals,Edinburgh North and Leith,Female,45 to 49,Apprenticeship qualifications,57
Individuals,Edinburgh North and Leith,Female,45 to 49,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,304
Individuals,Edinburgh North and Leith,Female,45 to 49,Degree level qualifications or above,2036
Individuals,Edinburgh North and Leith,Female,50 to 54,All people aged 16 and over,3381
Individuals,Edinburgh North and Leith,Female,50 to 54,No qualifications,321
Individuals,Edinburgh North and Leith,Female,50 to 54,Lower school qualifications,542
Individuals,Edinburgh North and Leith,Female,50 to 54,Upper school qualifications,271
Individuals,Edinburgh North and Leith,Female,50 to 54,Apprenticeship qualifications,44
Individuals,Edinburgh North and Leith,Female,50 to 54,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,340
Individuals,Edinburgh North and Leith,Female,50 to 54,Degree level qualifications or above,1863
Individuals,Edinburgh North and Leith,Female,55 to 59,All people aged 16 and over,3226
Individuals,Edinburgh North and Leith,Female,55 to 59,No qualifications,400
Individuals,Edinburgh North and Leith,Female,55 to 59,Lower school qualifications,574
Individuals,Edinburgh North and Leith,Female,55 to 59,Upper school qualifications,286
Individuals,Edinburgh North and Leith,Female,55 to 59,Apprenticeship qualifications,34
Individuals,Edinburgh North and Leith,Female,55 to 59,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,296
Individuals,Edinburgh North and Leith,Female,55 to 59,Degree level qualifications or above,1636
Individuals,Edinburgh North and Leith,Female,60 to 64,All people aged 16 and over,2708
Individuals,Edinburgh North and Leith,Female,60 to 64,No qualifications,427
Individuals,Edinburgh North and Leith,Female,60 to 64,Lower school qualifications,504
Individuals,Edinburgh North and Leith,Female,60 to 64,Upper school qualifications,219
Individuals,Edinburgh North and Leith,Female,60 to 64,Apprenticeship qualifications,39
Individuals,Edinburgh North and Leith,Female,60 to 64,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,227
Individuals,Edinburgh North and Leith,Female,60 to 64,Degree level qualifications or above,1292
Individuals,Edinburgh North and Leith,Female,65 to 69,All people aged 16 and over,2171
Individuals,Edinburgh North and Leith,Female,65 to 69,No qualifications,406
Individuals,Edinburgh North and Leith,Female,65 to 69,Lower school qualifications,361
Individuals,Edinburgh North and Leith,Female,65 to 69,Upper school qualifications,176
Individuals,Edinburgh North and Leith,Female,65 to 69,Apprenticeship qualifications,46
Individuals,Edinburgh North and Leith,Female,65 to 69,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,136
Individuals,Edinburgh North and Leith,Female,65 to 69,Degree level qualifications or above,1044
Individuals,Edinburgh North and Leith,Female,70 to 74,All people aged 16 and over,1900
Individuals,Edinburgh North and Leith,Female,70 to 74,No qualifications,484
Individuals,Edinburgh North and Leith,Female,70 to 74,Lower school qualifications,307
Individuals,Edinburgh North and Leith,Female,70 to 74,Upper school qualifications,149
Individuals,Edinburgh North and Leith,Female,70 to 74,Apprenticeship qualifications,39
Individuals,Edinburgh North and Leith,Female,70 to 74,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,107
Individuals,Edinburgh North and Leith,Female,70 to 74,Degree level qualifications or above,819
Individuals,Edinburgh North and Leith,Female,75 to 79,All people aged 16 and over,1353
Individuals,Edinburgh North and Leith,Female,75 to 79,No qualifications,436
Individuals,Edinburgh North and Leith,Female,75 to 79,Lower school qualifications,245
Individuals,Edinburgh North and Leith,Female,75 to 79,Upper school qualifications,66
Individuals,Edinburgh North and Leith,Female,75 to 79,Apprenticeship qualifications,13
Individuals,Edinburgh North and Leith,Female,75 to 79,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,68
Individuals,Edinburgh North and Leith,Female,75 to 79,Degree level qualifications or above,524
Individuals,Edinburgh North and Leith,Female,80 to 84,All people aged 16 and over,1038
Individuals,Edinburgh North and Leith,Female,80 to 84,No qualifications,391
Individuals,Edinburgh North and Leith,Female,80 to 84,Lower school qualifications,194
Individuals,Edinburgh North and Leith,Female,80 to 84,Upper school qualifications,71
Individuals,Edinburgh North and Leith,Female,80 to 84,Apprenticeship qualifications,11
Individuals,Edinburgh North and Leith,Female,80 to 84,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,36
Individuals,Edinburgh North and Leith,Female,80 to 84,Degree level qualifications or above,337
Individuals,Edinburgh North and Leith,Female,85 and over,All people aged 16 and over,1119
Individuals,Edinburgh North and Leith,Female,85 and over,No qualifications,506
Individuals,Edinburgh North and Leith,Female,85 and over,Lower school qualifications,213
Individuals,Edinburgh North and Leith,Female,85 and over,Upper school qualifications,56
Individuals,Edinburgh North and Leith,Female,85 and over,Apprenticeship qualifications,19
Individuals,Edinburgh North and Leith,Female,85 and over,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,45
Individuals,Edinburgh North and Leith,Female,85 and over,Degree level qualifications or above,278
Individuals,Edinburgh North and Leith,Male,Total,All people aged 16 and over,46436
Individuals,Edinburgh North and Leith,Male,Total,No qualifications,4144
Individuals,Edinburgh North and Leith,Male,Total,Lower school qualifications,5830
Individuals,Edinburgh North and Leith,Male,Total,Upper school qualifications,4601
Individuals,Edinburgh North and Leith,Male,Total,Apprenticeship qualifications,2551
Individuals,Edinburgh North and Leith,Male,Total,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,4489
Individuals,Edinburgh North and Leith,Male,Total,Degree level qualifications or above,24821
Individuals,Edinburgh North and Leith,Male,16 to 19,All people aged 16 and over,1928
Individuals,Edinburgh North and Leith,Male,16 to 19,No qualifications,200
Individuals,Edinburgh North and Leith,Male,16 to 19,Lower school qualifications,715
Individuals,Edinburgh North and Leith,Male,16 to 19,Upper school qualifications,720
Individuals,Edinburgh North and Leith,Male,16 to 19,Apprenticeship qualifications,41
Individuals,Edinburgh North and Leith,Male,16 to 19,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,140
Individuals,Edinburgh North and Leith,Male,16 to 19,Degree level qualifications or above,110
Individuals,Edinburgh North and Leith,Male,20 to 24,All people aged 16 and over,3949
Individuals,Edinburgh North and Leith,Male,20 to 24,No qualifications,147
Individuals,Edinburgh North and Leith,Male,20 to 24,Lower school qualifications,544
Individuals,Edinburgh North and Leith,Male,20 to 24,Upper school qualifications,948
Individuals,Edinburgh North and Leith,Male,20 to 24,Apprenticeship qualifications,118
Individuals,Edinburgh North and Leith,Male,20 to 24,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,519
Individuals,Edinburgh North and Leith,Male,20 to 24,Degree level qualifications or above,1671
Individuals,Edinburgh North and Leith,Male,25 to 29,All people aged 16 and over,6140
Individuals,Edinburgh North and Leith,Male,25 to 29,No qualifications,175
Individuals,Edinburgh North and Leith,Male,25 to 29,Lower school qualifications,566
Individuals,Edinburgh North and Leith,Male,25 to 29,Upper school qualifications,465
Individuals,Edinburgh North and Leith,Male,25 to 29,Apprenticeship qualifications,173
Individuals,Edinburgh North and Leith,Male,25 to 29,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,635
Individuals,Edinburgh North and Leith,Male,25 to 29,Degree level qualifications or above,4118
Individuals,Edinburgh North and Leith,Male,30 to 34,All people aged 16 and over,6220
Individuals,Edinburgh North and Leith,Male,30 to 34,No qualifications,213
Individuals,Edinburgh North and Leith,Male,30 to 34,Lower school qualifications,637
Individuals,Edinburgh North and Leith,Male,30 to 34,Upper school qualifications,421
Individuals,Edinburgh North and Leith,Male,30 to 34,Apprenticeship qualifications,192
Individuals,Edinburgh North and Leith,Male,30 to 34,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,611
Individuals,Edinburgh North and Leith,Male,30 to 34,Degree level qualifications or above,4146
Individuals,Edinburgh North and Leith,Male,35 to 39,All people aged 16 and over,5004
Individuals,Edinburgh North and Leith,Male,35 to 39,No qualifications,234
