SuperWEB2(tm),,,,,
,,,,,
Census 2022-Person-2Fv1,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV501a - Highest level of qualification by sex by age (16) All people aged 16 and over,,,,,
United Kingdom Parliamentary Constituency 2024 by Sex and Age by Highest Level of Qualification,,,,,
Counting: Individuals,,,,,
,,,,,
Filters:,,,,,
Default Summation,Individuals,,,,
,,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Sex,Age,Highest Level of Qualification,Count
Individuals,East Renfrewshire,Female,Total,All people aged 16 and over,41034
Individuals,East Renfrewshire,Female,Total,No qualifications,5437
Individuals,East Renfrewshire,Female,Total,Lower school qualifications,6164
Individuals,East Renfrewshire,Female,Total,Upper school qualifications,5086
Individuals,East Renfrewshire,Female,Total,Apprenticeship qualifications,805
Individuals,East Renfrewshire,Female,Total,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,4664
Individuals,East Renfrewshire,Female,Total,Degree level qualifications or above,18878
Individuals,East Renfrewshire,Female,16 to 19,All people aged 16 and over,2212
Individuals,East Renfrewshire,Female,16 to 19,No qualifications,118
Individuals,East Renfrewshire,Female,16 to 19,Lower school qualifications,681
Individuals,East Renfrewshire,Female,16 to 19,Upper school qualifications,1088
Individuals,East Renfrewshire,Female,16 to 19,Apprenticeship qualifications,41
Individuals,East Renfrewshire,Female,16 to 19,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,176
Individuals,East Renfrewshire,Female,16 to 19,Degree level qualifications or above,109
Individuals,East Renfrewshire,Female,20 to 24,All people aged 16 and over,2137
Individuals,East Renfrewshire,Female,20 to 24,No qualifications,51
Individuals,East Renfrewshire,Female,20 to 24,Lower school qualifications,125
Individuals,East Renfrewshire,Female,20 to 24,Upper school qualifications,561
Individuals,East Renfrewshire,Female,20 to 24,Apprenticeship qualifications,99
Individuals,East Renfrewshire,Female,20 to 24,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,381
Individuals,East Renfrewshire,Female,20 to 24,Degree level qualifications or above,917
Individuals,East Renfrewshire,Female,25 to 29,All people aged 16 and over,1899
Individuals,East Renfrewshire,Female,25 to 29,No qualifications,52
Individuals,East Renfrewshire,Female,25 to 29,Lower school qualifications,171
Individuals,East Renfrewshire,Female,25 to 29,Upper school qualifications,135
Individuals,East Renfrewshire,Female,25 to 29,Apprenticeship qualifications,77
Individuals,East Renfrewshire,Female,25 to 29,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,302
Individuals,East Renfrewshire,Female,25 to 29,Degree level qualifications or above,1162
Individuals,East Renfrewshire,Female,30 to 34,All people aged 16 and over,2425
Individuals,East Renfrewshire,Female,30 to 34,No qualifications,77
Individuals,East Renfrewshire,Female,30 to 34,Lower school qualifications,245
Individuals,East Renfrewshire,Female,30 to 34,Upper school qualifications,159
Individuals,East Renfrewshire,Female,30 to 34,Apprenticeship qualifications,61
Individuals,East Renfrewshire,Female,30 to 34,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,348
Individuals,East Renfrewshire,Female,30 to 34,Degree level qualifications or above,1536
Individuals,East Renfrewshire,Female,35 to 39,All people aged 16 and over,3028
Individuals,East Renfrewshire,Female,35 to 39,No qualifications,78
Individuals,East Renfrewshire,Female,35 to 39,Lower school qualifications,268
Individuals,East Renfrewshire,Female,35 to 39,Upper school qualifications,193
Individuals,East Renfrewshire,Female,35 to 39,Apprenticeship qualifications,48
Individuals,East Renfrewshire,Female,35 to 39,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,383
Individuals,East Renfrewshire,Female,35 to 39,Degree level qualifications or above,2058
Individuals,East Renfrewshire,Female,40 to 44,All people aged 16 and over,3482
Individuals,East Renfrewshire,Female,40 to 44,No qualifications,105
Individuals,East Renfrewshire,Female,40 to 44,Lower school qualifications,276
Individuals,East Renfrewshire,Female,40 to 44,Upper school qualifications,215
Individuals,East Renfrewshire,Female,40 to 44,Apprenticeship qualifications,31
Individuals,East Renfrewshire,Female,40 to 44,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,422
Individuals,East Renfrewshire,Female,40 to 44,Degree level qualifications or above,2432
Individuals,East Renfrewshire,Female,45 to 49,All people aged 16 and over,3352
Individuals,East Renfrewshire,Female,45 to 49,No qualifications,146
Individuals,East Renfrewshire,Female,45 to 49,Lower school qualifications,355
