SuperWEB2(tm),,,
,,,
Census 2022-Household-2Ev1,,,
Scotland's Census 2022 - National Records of Scotland Table UV404 - Household tenure - Households All occupied households,,,
United Kingdom Parliamentary Constituency 2024 by Household Tenure,,,
Counting: Households,,,
,,,
Filters:,,,
Default Summation,Households,,
,,,
Counting,United Kingdom Parliamentary Constituency 2024,Household Tenure,Count
Households,Edinburgh East and Musselburgh,Lives Rent Free,573
Households,Edinburgh North and Leith,All occupied households,56682
Households,Edinburgh North and Leith,Owned: Total,29247
Households,Edinburgh North and Leith,Owned: Owned outright,13521
Households,Edinburgh North and Leith,Owned: Owned with a mortgage or loan,15001
Households,Edinburgh North and Leith,Owned: Shared ownership (part owned and part rented),267
Households,Edinburgh North and Leith,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),456
Households,Edinburgh North and Leith,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,10204
Households,Edinburgh North and Leith,Private rented: Total,16596
Households,Edinburgh North and Leith,Private rented: Private landlord or letting agency,16313
Households,Edinburgh North and Leith,Private rented: Other,283
Households,Edinburgh North and Leith,Lives Rent Free,635
Households,Edinburgh South,All occupied households,42786
Households,Edinburgh South,Owned: Total,28794
Households,Edinburgh South,Owned: Owned outright,15623
Households,Edinburgh South,Owned: Owned with a mortgage or loan,12726
Households,Edinburgh South,Owned: Shared ownership (part owned and part rented),162
Households,Edinburgh South,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),283
Households,Edinburgh South,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,4889
Households,Edinburgh South,Private rented: Total,8601
Households,Edinburgh South,Private rented: Private landlord or letting agency,8433
Households,Edinburgh South,Private rented: Other,168
Households,Edinburgh South,Lives Rent Free,502
Households,Edinburgh South West,All occupied households,49162
Households,Edinburgh South West,Owned: Total,27607
Households,Edinburgh South West,Owned: Owned outright,13985
Households,Edinburgh South West,Owned: Owned with a mortgage or loan,12908
Households,Edinburgh South West,Owned: Shared ownership (part owned and part rented),262
Households,Edinburgh South West,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),452
Households,Edinburgh South West,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,8912
Households,Edinburgh South West,Private rented: Total,12087
Households,Edinburgh South West,Private rented: Private landlord or letting agency,11623
Households,Edinburgh South West,Private rented: Other,464
Households,Edinburgh South West,Lives Rent Free,556
Households,Edinburgh West,All occupied households,44012
Households,Edinburgh West,Owned: Total,33985
Households,Edinburgh West,Owned: Owned outright,18053
Households,Edinburgh West,Owned: Owned with a mortgage or loan,15477
Households,Edinburgh West,Owned: Shared ownership (part owned and part rented),85
Households,Edinburgh West,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),371
Households,Edinburgh West,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,4117
Households,Edinburgh West,Private rented: Total,5466
Households,Edinburgh West,Private rented: Private landlord or letting agency,5336
Households,Edinburgh West,Private rented: Other,127
Households,Edinburgh West,Lives Rent Free,443
Households,Falkirk,All occupied households,44112
Households,Falkirk,Owned: Total,28463
Households,Falkirk,Owned: Owned outright,14174
Households,Falkirk,Owned: Owned with a mortgage or loan,13987
Households,Falkirk,Owned: Shared ownership (part owned and part rented),84
Households,Falkirk,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),218
Households,Falkirk,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,11269
Households,Falkirk,Private rented: Total,3801
Households,Falkirk,Private rented: Private landlord or letting agency,3668
Households,Falkirk,Private rented: Other,130
Households,Falkirk,Lives Rent Free,582
Households,Glasgow East,All occupied households,48401
Households,Glasgow East,Owned: Total,21577
Households,Glasgow East,Owned: Owned outright,9720
Households,Glasgow East,Owned: Owned with a mortgage or loan,11241
Households,Glasgow East,Owned: Shared ownership (part owned and part rented),255
Households,Glasgow East,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),369
Households,Glasgow East,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,18076
Households,Glasgow East,Private rented: Total,8009
Households,Glasgow East,Private rented: Private landlord or letting agency,7747
Households,Glasgow East,Private rented: Other,259
Households,Glasgow East,Lives Rent Free,738
Households,Glasgow North,All occupied households,49545
Households,Glasgow North,Owned: Total,19356
Households,Glasgow North,Owned: Owned outright,9405
Households,Glasgow North,Owned: Owned with a mortgage or loan,9565
Households,Glasgow North,Owned: Shared ownership (part owned and part rented),198
Households,Glasgow North,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),188
Households,Glasgow North,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,17153
Households,Glasgow North,Private rented: Total,12167
Households,Glasgow North,Private rented: Private landlord or letting agency,11875
Households,Glasgow North,Private rented: Other,288
Households,Glasgow North,Lives Rent Free,868
Households,Glasgow North East,All occupied households,50217
Households,Glasgow North East,Owned: Total,19707
Households,Glasgow North East,Owned: Owned outright,8819
Households,Glasgow North East,Owned: Owned with a mortgage or loan,10412
Households,Glasgow North East,Owned: Shared ownership (part owned and part rented),134
Households,Glasgow North East,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),342
Households,Glasgow North East,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,23322
Households,Glasgow North East,Private rented: Total,6308
Households,Glasgow North East,Private rented: Private landlord or letting agency,6108
Households,Glasgow North East,Private rented: Other,203
Households,Glasgow North East,Lives Rent Free,877
Households,Glasgow South,All occupied households,45435
Households,Glasgow South,Owned: Total,26044
Households,Glasgow South,Owned: Owned outright,11536
Households,Glasgow South,Owned: Owned with a mortgage or loan,14198
Households,Glasgow South,Owned: Shared ownership (part owned and part rented),93
Households,Glasgow South,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),217
Households,Glasgow South,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,11288
Households,Glasgow South,Private rented: Total,7529
Households,Glasgow South,Private rented: Private landlord or letting agency,7337
Households,Glasgow South,Private rented: Other,189
Households,Glasgow South,Lives Rent Free,574
Households,Glasgow South West,All occupied households,43154
Households,Glasgow South West,Owned: Total,21868
Households,Glasgow South West,Owned: Owned outright,10002
Households,Glasgow South West,Owned: Owned with a mortgage or loan,11535
Households,Glasgow South West,Owned: Shared ownership (part owned and part rented),111
Households,Glasgow South West,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),220
Households,Glasgow South West,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,14825
Households,Glasgow South West,Private rented: Total,5784
Households,Glasgow South West,Private rented: Private landlord or letting agency,5566
Households,Glasgow South West,Private rented: Other,218
Households,Glasgow South West,Lives Rent Free,677
Households,Glasgow West,All occupied households,48825
Households,Glasgow West,Owned: Total,23966
Households,Glasgow West,Owned: Owned outright,11811
Households,Glasgow West,Owned: Owned with a mortgage or loan,11893
Households,Glasgow West,Owned: Shared ownership (part owned and part rented),155
Households,Glasgow West,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),107
Households,Glasgow West,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,15178
Households,Glasgow West,Private rented: Total,9011
Households,Glasgow West,Private rented: Private landlord or letting agency,8763
Households,Glasgow West,Private rented: Other,248
Households,Glasgow West,Lives Rent Free,672
Households,Glenrothes and Mid Fife,All occupied households,42861
Households,Glenrothes and Mid Fife,Owned: Total,25442
Households,Glenrothes and Mid Fife,Owned: Owned outright,13854
Households,Glenrothes and Mid Fife,Owned: Owned with a mortgage or loan,11395
Households,Glenrothes and Mid Fife,Owned: Shared ownership (part owned and part rented),57
Households,Glenrothes and Mid Fife,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),139
Households,Glenrothes and Mid Fife,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,12596
Households,Glenrothes and Mid Fife,Private rented: Total,4221
Households,Glenrothes and Mid Fife,Private rented: Private landlord or letting agency,4072
Households,Glenrothes and Mid Fife,Private rented: Other,149
Households,Glenrothes and Mid Fife,Lives Rent Free,602
Households,Gordon and Buchan,All occupied households,40108
Households,Gordon and Buchan,Owned: Total,30676
Households,Gordon and Buchan,Owned: Owned outright,16165
Households,Gordon and Buchan,Owned: Owned with a mortgage or loan,14112
Households,Gordon and Buchan,Owned: Shared ownership (part owned and part rented),80
Households,Gordon and Buchan,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),319
Households,Gordon and Buchan,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,5238
Households,Gordon and Buchan,Private rented: Total,3613
Households,Gordon and Buchan,Private rented: Private landlord or letting agency,3498
Households,Gordon and Buchan,Private rented: Other,114
Households,Gordon and Buchan,Lives Rent Free,583
Households,Hamilton and Clyde Valley,All occupied households,44351
Households,Hamilton and Clyde Valley,Owned: Total,29781
Households,Hamilton and Clyde Valley,Owned: Owned outright,15131
Households,Hamilton and Clyde Valley,Owned: Owned with a mortgage or loan,14447
Households,Hamilton and Clyde Valley,Owned: Shared ownership (part owned and part rented),39
Households,Hamilton and Clyde Valley,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),164
Households,Hamilton and Clyde Valley,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,9449
Households,Hamilton and Clyde Valley,Private rented: Total,4577
Households,Hamilton and Clyde Valley,Private rented: Private landlord or letting agency,4451
Households,Hamilton and Clyde Valley,Private rented: Other,126
Households,Hamilton and Clyde Valley,Lives Rent Free,544
Households,Inverclyde and Renfrewshire West,All occupied households,42329
Households,Inverclyde and Renfrewshire West,Owned: Total,27908
Households,Inverclyde and Renfrewshire West,Owned: Owned outright,15799
Households,Inverclyde and Renfrewshire West,Owned: Owned with a mortgage or loan,11875
Households,Inverclyde and Renfrewshire West,Owned: Shared ownership (part owned and part rented),124
Households,Inverclyde and Renfrewshire West,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),109
