SuperWEB2(tm),,,,
,,,,
Census 2022-Household-2Ev1,,,,
Scotland's Census 2022 - National Records of Scotland Table UV416 - Household tenure by age of Household Reference Person All Household Reference Persons aged 16 and over,,,,
United Kingdom Parliamentary Constituency 2024 and Age of Household Reference Person by Household Tenure,,,,
Counting: Households,,,,
,,,,
Filters:,,,,
Default Summation,Households,,,
,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Age of Household Reference Person,Household Tenure,Count
Households,Falkirk,Household Reference Person is aged 35 to 49,Owned: Total,6840
Households,Falkirk,Household Reference Person is aged 35 to 49,Owned: Owned outright,955
Households,Falkirk,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,5789
Households,Falkirk,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),12
Households,Falkirk,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),82
Households,Falkirk,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2769
Households,Falkirk,Household Reference Person is aged 35 to 49,Private rented: Total,1131
Households,Falkirk,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1096
Households,Falkirk,Household Reference Person is aged 35 to 49,Private rented: Other,38
Households,Falkirk,Household Reference Person is aged 35 to 49,Lives Rent Free,73
Households,Falkirk,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,13663
Households,Falkirk,Household Reference Person is aged 50 to 64,Owned: Total,9563
Households,Falkirk,Household Reference Person is aged 50 to 64,Owned: Owned outright,4910
Households,Falkirk,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,4620
Households,Falkirk,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),31
Households,Falkirk,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),10
Households,Falkirk,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3209
Households,Falkirk,Household Reference Person is aged 50 to 64,Private rented: Total,782
Households,Falkirk,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,760
Households,Falkirk,Household Reference Person is aged 50 to 64,Private rented: Other,20
Households,Falkirk,Household Reference Person is aged 50 to 64,Lives Rent Free,109
Households,Falkirk,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,12605
Households,Falkirk,Household Reference Person is aged 65 and over,Owned: Total,8718
Households,Falkirk,Household Reference Person is aged 65 and over,Owned: Owned outright,8024
Households,Falkirk,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,635
Households,Falkirk,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),29
Households,Falkirk,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),32
Households,Falkirk,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3196
Households,Falkirk,Household Reference Person is aged 65 and over,Private rented: Total,396
Households,Falkirk,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,356
Households,Falkirk,Household Reference Person is aged 65 and over,Private rented: Other,40
Households,Falkirk,Household Reference Person is aged 65 and over,Lives Rent Free,295
Households,Glasgow East,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,48401
Households,Glasgow East,All Household Reference Persons aged 16 and over,Owned: Total,21577
Households,Glasgow East,All Household Reference Persons aged 16 and over,Owned: Owned outright,9720
Households,Glasgow East,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,11241
Households,Glasgow East,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),255
Households,Glasgow East,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),369
Households,Glasgow East,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,18076
Households,Glasgow East,All Household Reference Persons aged 16 and over,Private rented: Total,8009
Households,Glasgow East,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,7747
Households,Glasgow East,All Household Reference Persons aged 16 and over,Private rented: Other,259
Households,Glasgow East,All Household Reference Persons aged 16 and over,Lives Rent Free,738
Households,Glasgow East,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,12703
Households,Glasgow East,Household Reference Person ages 16 to 34,Owned: Total,4066
Households,Glasgow East,Household Reference Person ages 16 to 34,Owned: Owned outright,737
Households,Glasgow East,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,3122
Households,Glasgow East,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),59
Households,Glasgow East,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),156
Households,Glasgow East,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3701
Households,Glasgow East,Household Reference Person ages 16 to 34,Private rented: Total,4680
Households,Glasgow East,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,4559
Households,Glasgow East,Household Reference Person ages 16 to 34,Private rented: Other,121
Households,Glasgow East,Household Reference Person ages 16 to 34,Lives Rent Free,256
Households,Glasgow East,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,12689
Households,Glasgow East,Household Reference Person is aged 35 to 49,Owned: Total,5442
Households,Glasgow East,Household Reference Person is aged 35 to 49,Owned: Owned outright,895
Households,Glasgow East,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,4358
Households,Glasgow East,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),43
Households,Glasgow East,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),147
Households,Glasgow East,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,5051
Households,Glasgow East,Household Reference Person is aged 35 to 49,Private rented: Total,2026
Households,Glasgow East,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1972
Households,Glasgow East,Household Reference Person is aged 35 to 49,Private rented: Other,54
Households,Glasgow East,Household Reference Person is aged 35 to 49,Lives Rent Free,169
Households,Glasgow East,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,13024
Households,Glasgow East,Household Reference Person is aged 50 to 64,Owned: Total,6583
Households,Glasgow East,Household Reference Person is aged 50 to 64,Owned: Owned outright,3272
Households,Glasgow East,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,3187
Households,Glasgow East,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),91
Households,Glasgow East,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),33
Households,Glasgow East,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,5383
Households,Glasgow East,Household Reference Person is aged 50 to 64,Private rented: Total,921
Households,Glasgow East,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,871
Households,Glasgow East,Household Reference Person is aged 50 to 64,Private rented: Other,48
Households,Glasgow East,Household Reference Person is aged 50 to 64,Lives Rent Free,137
Households,Glasgow East,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,9986
Households,Glasgow East,Household Reference Person is aged 65 and over,Owned: Total,5490
Households,Glasgow East,Household Reference Person is aged 65 and over,Owned: Owned outright,4817
Households,Glasgow East,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,574
Households,Glasgow East,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),66
Households,Glasgow East,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),33
Households,Glasgow East,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3941
Households,Glasgow East,Household Reference Person is aged 65 and over,Private rented: Total,379
Households,Glasgow East,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,343
Households,Glasgow East,Household Reference Person is aged 65 and over,Private rented: Other,36
Households,Glasgow East,Household Reference Person is aged 65 and over,Lives Rent Free,172
Households,Glasgow North,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,49545
Households,Glasgow North,All Household Reference Persons aged 16 and over,Owned: Total,19356
Households,Glasgow North,All Household Reference Persons aged 16 and over,Owned: Owned outright,9405
Households,Glasgow North,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,9565
Households,Glasgow North,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),198
Households,Glasgow North,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),188
Households,Glasgow North,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,17153
Households,Glasgow North,All Household Reference Persons aged 16 and over,Private rented: Total,12167
Households,Glasgow North,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,11875
Households,Glasgow North,All Household Reference Persons aged 16 and over,Private rented: Other,288
Households,Glasgow North,All Household Reference Persons aged 16 and over,Lives Rent Free,868
Households,Glasgow North,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,16449
Households,Glasgow North,Household Reference Person ages 16 to 34,Owned: Total,4102
Households,Glasgow North,Household Reference Person ages 16 to 34,Owned: Owned outright,1209
Households,Glasgow North,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,2733
Households,Glasgow North,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),109
Households,Glasgow North,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),48
Households,Glasgow North,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3378
Households,Glasgow North,Household Reference Person ages 16 to 34,Private rented: Total,8626
Households,Glasgow North,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,8473
Households,Glasgow North,Household Reference Person ages 16 to 34,Private rented: Other,149
Households,Glasgow North,Household Reference Person ages 16 to 34,Lives Rent Free,346
Households,Glasgow North,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,12100
Households,Glasgow North,Household Reference Person is aged 35 to 49,Owned: Total,4833
Households,Glasgow North,Household Reference Person is aged 35 to 49,Owned: Owned outright,1075
Households,Glasgow North,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,3662
Households,Glasgow North,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),23
Households,Glasgow North,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),69
Households,Glasgow North,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,4735
Households,Glasgow North,Household Reference Person is aged 35 to 49,Private rented: Total,2344
Households,Glasgow North,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,2265
Households,Glasgow North,Household Reference Person is aged 35 to 49,Private rented: Other,71
Households,Glasgow North,Household Reference Person is aged 35 to 49,Lives Rent Free,192
Households,Glasgow North,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,11922
Households,Glasgow North,Household Reference Person is aged 50 to 64,Owned: Total,5653
Households,Glasgow North,Household Reference Person is aged 50 to 64,Owned: Owned outright,2889
Households,Glasgow North,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,2677
Households,Glasgow North,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),40
Households,Glasgow North,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),47
Households,Glasgow North,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,5283
Households,Glasgow North,Household Reference Person is aged 50 to 64,Private rented: Total,854
Households,Glasgow North,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,817
Households,Glasgow North,Household Reference Person is aged 50 to 64,Private rented: Other,37
Households,Glasgow North,Household Reference Person is aged 50 to 64,Lives Rent Free,132
Households,Glasgow North,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,9075
Households,Glasgow North,Household Reference Person is aged 65 and over,Owned: Total,4768
Households,Glasgow North,Household Reference Person is aged 65 and over,Owned: Owned outright,4228
Households,Glasgow North,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,493
Households,Glasgow North,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),23
Households,Glasgow North,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),24
Households,Glasgow North,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3757
Households,Glasgow North,Household Reference Person is aged 65 and over,Private rented: Total,351
Households,Glasgow North,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,320
Households,Glasgow North,Household Reference Person is aged 65 and over,Private rented: Other,31
Households,Glasgow North,Household Reference Person is aged 65 and over,Lives Rent Free,199
Households,Glasgow North East,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,50214
Households,Glasgow North East,All Household Reference Persons aged 16 and over,Owned: Total,19707
Households,Glasgow North East,All Household Reference Persons aged 16 and over,Owned: Owned outright,8819
Households,Glasgow North East,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,10412
Households,Glasgow North East,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),134
Households,Glasgow North East,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),342
Households,Glasgow North East,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,23319
Households,Glasgow North East,All Household Reference Persons aged 16 and over,Private rented: Total,6308
Households,Glasgow North East,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,6108
Households,Glasgow North East,All Household Reference Persons aged 16 and over,Private rented: Other,203
Households,Glasgow North East,All Household Reference Persons aged 16 and over,Lives Rent Free,877
Households,Glasgow North East,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,11646
Households,Glasgow North East,Household Reference Person ages 16 to 34,Owned: Total,3530
Households,Glasgow North East,Household Reference Person ages 16 to 34,Owned: Owned outright,572
Households,Glasgow North East,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,2796
Households,Glasgow North East,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),35
Households,Glasgow North East,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),127
Households,Glasgow North East,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,4349
Households,Glasgow North East,Household Reference Person ages 16 to 34,Private rented: Total,3524
Households,Glasgow North East,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,3460
Households,Glasgow North East,Household Reference Person ages 16 to 34,Private rented: Other,64
Households,Glasgow North East,Household Reference Person ages 16 to 34,Lives Rent Free,243
Households,Glasgow North East,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,12836
Households,Glasgow North East,Household Reference Person is aged 35 to 49,Owned: Total,4845
Households,Glasgow North East,Household Reference Person is aged 35 to 49,Owned: Owned outright,831
Households,Glasgow North East,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,3859
Households,Glasgow North East,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),23
Households,Glasgow North East,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),132
Households,Glasgow North East,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,6165
Households,Glasgow North East,Household Reference Person is aged 35 to 49,Private rented: Total,1573
Households,Glasgow North East,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1522
Households,Glasgow North East,Household Reference Person is aged 35 to 49,Private rented: Other,53
Households,Glasgow North East,Household Reference Person is aged 35 to 49,Lives Rent Free,253
Households,Glasgow North East,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,14853
Households,Glasgow North East,Household Reference Person is aged 50 to 64,Owned: Total,6362
Households,Glasgow North East,Household Reference Person is aged 50 to 64,Owned: Owned outright,3046
Households,Glasgow North East,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,3221
Households,Glasgow North East,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),49
Households,Glasgow North East,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),50
Households,Glasgow North East,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,7477
Households,Glasgow North East,Household Reference Person is aged 50 to 64,Private rented: Total,847
Households,Glasgow North East,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,807
Households,Glasgow North East,Household Reference Person is aged 50 to 64,Private rented: Other,40
Households,Glasgow North East,Household Reference Person is aged 50 to 64,Lives Rent Free,167
Households,Glasgow North East,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,10879
Households,Glasgow North East,Household Reference Person is aged 65 and over,Owned: Total,4970
Households,Glasgow North East,Household Reference Person is aged 65 and over,Owned: Owned outright,4372
Households,Glasgow North East,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,536
Households,Glasgow North East,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),35
Households,Glasgow North East,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),31
Households,Glasgow North East,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,5328
Households,Glasgow North East,Household Reference Person is aged 65 and over,Private rented: Total,370
Households,Glasgow North East,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,319
Households,Glasgow North East,Household Reference Person is aged 65 and over,Private rented: Other,44
Households,Glasgow North East,Household Reference Person is aged 65 and over,Lives Rent Free,214
Households,Glasgow South,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,45435
Households,Glasgow South,All Household Reference Persons aged 16 and over,Owned: Total,26044
Households,Glasgow South,All Household Reference Persons aged 16 and over,Owned: Owned outright,11536
Households,Glasgow South,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,14198
Households,Glasgow South,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),93
Households,Glasgow South,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),217
Households,Glasgow South,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,11288
Households,Glasgow South,All Household Reference Persons aged 16 and over,Private rented: Total,7529
Households,Glasgow South,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,7337
Households,Glasgow South,All Household Reference Persons aged 16 and over,Private rented: Other,189
Households,Glasgow South,All Household Reference Persons aged 16 and over,Lives Rent Free,574
Households,Glasgow South,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,11136
Households,Glasgow South,Household Reference Person ages 16 to 34,Owned: Total,5105
Households,Glasgow South,Household Reference Person ages 16 to 34,Owned: Owned outright,679
Households,Glasgow South,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,4298
Households,Glasgow South,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),17
Households,Glasgow South,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),111
Households,Glasgow South,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2047
Households,Glasgow South,Household Reference Person ages 16 to 34,Private rented: Total,3818
Households,Glasgow South,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,3749
Households,Glasgow South,Household Reference Person ages 16 to 34,Private rented: Other,73
Households,Glasgow South,Household Reference Person ages 16 to 34,Lives Rent Free,162
Households,Glasgow South,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,12036
Households,Glasgow South,Household Reference Person is aged 35 to 49,Owned: Total,6793
Households,Glasgow South,Household Reference Person is aged 35 to 49,Owned: Owned outright,997
Households,Glasgow South,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,5719
Households,Glasgow South,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),23
Households,Glasgow South,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),54
Households,Glasgow South,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2954
Households,Glasgow South,Household Reference Person is aged 35 to 49,Private rented: Total,2135
Households,Glasgow South,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,2089
Households,Glasgow South,Household Reference Person is aged 35 to 49,Private rented: Other,44
Households,Glasgow South,Household Reference Person is aged 35 to 49,Lives Rent Free,157
Households,Glasgow South,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,11983
Households,Glasgow South,Household Reference Person is aged 50 to 64,Owned: Total,7340
Households,Glasgow South,Household Reference Person is aged 50 to 64,Owned: Owned outright,3769
Households,Glasgow South,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,3532
Households,Glasgow South,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),20
Households,Glasgow South,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),19
Households,Glasgow South,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3437
Households,Glasgow South,Household Reference Person is aged 50 to 64,Private rented: Total,1093
Households,Glasgow South,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,1054
Households,Glasgow South,Household Reference Person is aged 50 to 64,Private rented: Other,38
Households,Glasgow South,Household Reference Person is aged 50 to 64,Lives Rent Free,111
Households,Glasgow South,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,10280
Households,Glasgow South,Household Reference Person is aged 65 and over,Owned: Total,6803
Households,Glasgow South,Household Reference Person is aged 65 and over,Owned: Owned outright,6091
Households,Glasgow South,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,652
Households,Glasgow South,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),26
Households,Glasgow South,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),31
Households,Glasgow South,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2851
Households,Glasgow South,Household Reference Person is aged 65 and over,Private rented: Total,479
Households,Glasgow South,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,445
Households,Glasgow South,Household Reference Person is aged 65 and over,Private rented: Other,37
Households,Glasgow South,Household Reference Person is aged 65 and over,Lives Rent Free,144
Households,Glasgow South West,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,43156
Households,Glasgow South West,All Household Reference Persons aged 16 and over,Owned: Total,21868
Households,Glasgow South West,All Household Reference Persons aged 16 and over,Owned: Owned outright,10002
Households,Glasgow South West,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,11535
Households,Glasgow South West,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),111
Households,Glasgow South West,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),220
Households,Glasgow South West,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,14824
Households,Glasgow South West,All Household Reference Persons aged 16 and over,Private rented: Total,5784
Households,Glasgow South West,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,5566
Households,Glasgow South West,All Household Reference Persons aged 16 and over,Private rented: Other,218
Households,Glasgow South West,All Household Reference Persons aged 16 and over,Lives Rent Free,677
Households,Glasgow South West,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,9181
Households,Glasgow South West,Household Reference Person ages 16 to 34,Owned: Total,3108
Households,Glasgow South West,Household Reference Person ages 16 to 34,Owned: Owned outright,556
Households,Glasgow South West,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,2473
Households,Glasgow South West,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),20
Households,Glasgow South West,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),60
Households,Glasgow South West,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2898
Households,Glasgow South West,Household Reference Person ages 16 to 34,Private rented: Total,2966
Households,Glasgow South West,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,2883
Households,Glasgow South West,Household Reference Person ages 16 to 34,Private rented: Other,82
Households,Glasgow South West,Household Reference Person ages 16 to 34,Lives Rent Free,207
Households,Glasgow South West,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,11576
Households,Glasgow South West,Household Reference Person is aged 35 to 49,Owned: Total,5650
Households,Glasgow South West,Household Reference Person is aged 35 to 49,Owned: Owned outright,960
Households,Glasgow South West,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,4568
Households,Glasgow South West,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),19
Households,Glasgow South West,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),103
Households,Glasgow South West,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,4046
Households,Glasgow South West,Household Reference Person is aged 35 to 49,Private rented: Total,1716
Households,Glasgow South West,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1661
Households,Glasgow South West,Household Reference Person is aged 35 to 49,Private rented: Other,55
Households,Glasgow South West,Household Reference Person is aged 35 to 49,Lives Rent Free,168
Households,Glasgow South West,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,13135
Households,Glasgow South West,Household Reference Person is aged 50 to 64,Owned: Total,7489
Households,Glasgow South West,Household Reference Person is aged 50 to 64,Owned: Owned outright,3614
Households,Glasgow South West,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,3804
Households,Glasgow South West,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),32
Households,Glasgow South West,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),39
Households,Glasgow South West,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,4744
Households,Glasgow South West,Household Reference Person is aged 50 to 64,Private rented: Total,782
Households,Glasgow South West,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,752
Households,Glasgow South West,Household Reference Person is aged 50 to 64,Private rented: Other,30
Households,Glasgow South West,Household Reference Person is aged 50 to 64,Lives Rent Free,122
Households,Glasgow South West,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,9261
Households,Glasgow South West,Household Reference Person is aged 65 and over,Owned: Total,5621
Households,Glasgow South West,Household Reference Person is aged 65 and over,Owned: Owned outright,4873
Households,Glasgow South West,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,690
Households,Glasgow South West,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),40
Households,Glasgow South West,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),18
Households,Glasgow South West,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3140
Households,Glasgow South West,Household Reference Person is aged 65 and over,Private rented: Total,321
Households,Glasgow South West,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,270
Households,Glasgow South West,Household Reference Person is aged 65 and over,Private rented: Other,51
Households,Glasgow South West,Household Reference Person is aged 65 and over,Lives Rent Free,179
