SuperWEB2(tm),,,,
,,,,
Census 2022-Household-2Ev1,,,,
Scotland's Census 2022 - National Records of Scotland Table UV416 - Household tenure by age of Household Reference Person All Household Reference Persons aged 16 and over,,,,
United Kingdom Parliamentary Constituency 2024 and Age of Household Reference Person by Household Tenure,,,,
Counting: Households,,,,
,,,,
Filters:,,,,
Default Summation,Households,,,
,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Age of Household Reference Person,Household Tenure,Count
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Owned: Total,28710
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Owned: Owned outright,17361
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,11191
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),53
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),101
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,10931
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Private rented: Total,4279
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,4124
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Private rented: Other,155
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Lives Rent Free,596
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,5569
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Owned: Total,2183
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Owned: Owned outright,394
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,1761
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),6
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),22
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2147
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Private rented: Total,1138
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,1108
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Private rented: Other,30
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Lives Rent Free,101
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,9046
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Owned: Total,5049
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Owned: Owned outright,981
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,4039
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),5
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),24
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2661
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Private rented: Total,1244
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1200
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Private rented: Other,48
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Lives Rent Free,88
Households,North Ayrshire and Arran,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,14103
Households,North Ayrshire and Arran,Household Reference Person is aged 50 to 64,Owned: Total,9658
Households,North Ayrshire and Arran,Household Reference Person is aged 50 to 64,Owned: Owned outright,5221
Households,North Ayrshire and Arran,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,4400
Households,North Ayrshire and Arran,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),25
Households,North Ayrshire and Arran,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),12
Households,North Ayrshire and Arran,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3143
Households,North Ayrshire and Arran,Household Reference Person is aged 50 to 64,Private rented: Total,1179
Households,North Ayrshire and Arran,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,1148
Households,North Ayrshire and Arran,Household Reference Person is aged 50 to 64,Private rented: Other,32
Households,North Ayrshire and Arran,Household Reference Person is aged 50 to 64,Lives Rent Free,121
Households,North Ayrshire and Arran,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,15798
Households,North Ayrshire and Arran,Household Reference Person is aged 65 and over,Owned: Total,11820
Households,North Ayrshire and Arran,Household Reference Person is aged 65 and over,Owned: Owned outright,10765
Households,North Ayrshire and Arran,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,993
Households,North Ayrshire and Arran,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),22
Households,North Ayrshire and Arran,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),43
Households,North Ayrshire and Arran,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2980
Households,North Ayrshire and Arran,Household Reference Person is aged 65 and over,Private rented: Total,712
Households,North Ayrshire and Arran,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,668
Households,North Ayrshire and Arran,Household Reference Person is aged 65 and over,Private rented: Other,44
Households,North Ayrshire and Arran,Household Reference Person is aged 65 and over,Lives Rent Free,286
Households,Orkney and Shetland,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,21204
Households,Orkney and Shetland,All Household Reference Persons aged 16 and over,Owned: Total,14643
Households,Orkney and Shetland,All Household Reference Persons aged 16 and over,Owned: Owned outright,9537
Households,Orkney and Shetland,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,4848
Households,Orkney and Shetland,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),169
Households,Orkney and Shetland,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),86
Households,Orkney and Shetland,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,4201
Households,Orkney and Shetland,All Household Reference Persons aged 16 and over,Private rented: Total,1759
Households,Orkney and Shetland,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,1654
Households,Orkney and Shetland,All Household Reference Persons aged 16 and over,Private rented: Other,109
Households,Orkney and Shetland,All Household Reference Persons aged 16 and over,Lives Rent Free,601
Households,Orkney and Shetland,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,3072
Households,Orkney and Shetland,Household Reference Person ages 16 to 34,Owned: Total,1356
Households,Orkney and Shetland,Household Reference Person ages 16 to 34,Owned: Owned outright,268
Households,Orkney and Shetland,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,1032
Households,Orkney and Shetland,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),27
Households,Orkney and Shetland,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),33
Households,Orkney and Shetland,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,971
Households,Orkney and Shetland,Household Reference Person ages 16 to 34,Private rented: Total,628
Households,Orkney and Shetland,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,603
Households,Orkney and Shetland,Household Reference Person ages 16 to 34,Private rented: Other,29
Households,Orkney and Shetland,Household Reference Person ages 16 to 34,Lives Rent Free,113
Households,Orkney and Shetland,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,4540
Households,Orkney and Shetland,Household Reference Person is aged 35 to 49,Owned: Total,2924
Households,Orkney and Shetland,Household Reference Person is aged 35 to 49,Owned: Owned outright,836
Households,Orkney and Shetland,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,2016
Households,Orkney and Shetland,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),39
Households,Orkney and Shetland,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),31
Households,Orkney and Shetland,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,1077
Households,Orkney and Shetland,Household Reference Person is aged 35 to 49,Private rented: Total,461
Households,Orkney and Shetland,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,433
Households,Orkney and Shetland,Household Reference Person is aged 35 to 49,Private rented: Other,32
Households,Orkney and Shetland,Household Reference Person is aged 35 to 49,Lives Rent Free,81
Households,Orkney and Shetland,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,6582
Households,Orkney and Shetland,Household Reference Person is aged 50 to 64,Owned: Total,4899
Households,Orkney and Shetland,Household Reference Person is aged 50 to 64,Owned: Owned outright,3222
Households,Orkney and Shetland,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,1606
Households,Orkney and Shetland,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),60
Households,Orkney and Shetland,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),10
Households,Orkney and Shetland,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,1208
Households,Orkney and Shetland,Household Reference Person is aged 50 to 64,Private rented: Total,394
Households,Orkney and Shetland,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,365
Households,Orkney and Shetland,Household Reference Person is aged 50 to 64,Private rented: Other,29
Households,Orkney and Shetland,Household Reference Person is aged 50 to 64,Lives Rent Free,81
Households,Orkney and Shetland,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,7006
Households,Orkney and Shetland,Household Reference Person is aged 65 and over,Owned: Total,5464
Households,Orkney and Shetland,Household Reference Person is aged 65 and over,Owned: Owned outright,5208
Households,Orkney and Shetland,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,194
Households,Orkney and Shetland,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),42
Households,Orkney and Shetland,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),19
Households,Orkney and Shetland,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,945
Households,Orkney and Shetland,Household Reference Person is aged 65 and over,Private rented: Total,272
Households,Orkney and Shetland,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,249
Households,Orkney and Shetland,Household Reference Person is aged 65 and over,Private rented: Other,23
Households,Orkney and Shetland,Household Reference Person is aged 65 and over,Lives Rent Free,325
